customer_id,segment,total_txn_count,avg_txn_amount,avg_balance,credit_score,has_loan,months_active,fail_rate
CUST000001,Regular,5,655.316,53762.056,389,0,5,0.0
CUST000002,Regular,7,21848.66857142857,49788.60285714286,727,0,7,0.0
CUST000003,Regular,8,14980.27,40364.42125,533,1,7,0.0
CUST000004,Regular,8,15477.51375,41178.845,329,0,8,0.125
CUST000005,Regular,5,13216.654,47540.394,455,1,5,0.0
CUST000006,Premium,12,16993.05,176112.01416666666,472,0,11,0.0
CUST000007,Active,4,8415.529999999999,280662.72,772,0,4,0.0
CUST000008,Regular,3,6696.173333333332,10902.883333333333,394,1,3,0.0
CUST000009,Active,8,76613.25749999999,86204.655,865,0,7,0.0
CUST000010,Active,6,17956.326666666664,148395.93166666667,646,0,6,0.16666666666666666
CUST000011,Active,9,232859.84999999998,38342.52333333334,321,1,9,0.0
CUST000012,Active,9,12020.521111111111,82129.75222222222,709,0,8,0.0
CUST000013,Regular,4,88499.035,32163.91,634,0,4,0.25
CUST000014,Premium,7,24021.977142857144,262234.3714285714,621,0,6,0.0
CUST000015,Active,7,89291.00857142858,15616.32142857143,426,0,7,0.0
CUST000016,Active,9,6264.591111111111,71505.68666666668,325,0,9,0.0
CUST000017,Regular,5,29466.660000000003,25940.662,724,0,5,0.0
CUST000018,Regular,5,188793.57400000002,50865.943999999996,360,0,5,0.0
CUST000019,Regular,5,80797.414,23881.278,338,0,5,0.2
CUST000020,Active,8,12118.926249999999,77993.09999999999,555,0,7,0.0
CUST000021,Active,10,20691.113999999998,67212.311,717,1,9,0.0
CUST000022,Active,9,14699.531111111111,80868.07444444444,499,0,9,0.0
CUST000023,Active,8,14687.86375,93274.22,438,0,8,0.0
CUST000024,Regular,6,5862.235000000001,89633.18333333333,898,1,4,0.0
CUST000025,Regular,1,17001.22,18809.1,552,0,1,0.0
CUST000026,Regular,10,4405.195,49871.851,686,1,10,0.1
CUST000027,Active,8,64175.04625,23107.275,438,0,7,0.0
CUST000028,Dormant,2,910.415,41415.935,423,1,2,0.0
CUST000029,Active,11,11583.619090909093,68433.07272727274,382,1,9,0.09090909090909091
CUST000030,Premium,8,45806.738750000004,89311.68875,486,1,8,0.125
CUST000031,Active,8,5925.325,81988.12875,872,0,7,0.0
CUST000032,Active,4,16771.545000000002,153187.845,487,0,4,0.25
CUST000033,Regular,9,3168.4177777777777,49589.880000000005,747,1,9,0.0
CUST000034,Active,5,31452.352000000003,141042.45799999998,354,0,4,0.0
CUST000035,Premium,9,79977.30333333333,102170.90333333334,680,0,8,0.0
CUST000036,Regular,6,20614.051666666666,36303.84,733,0,6,0.0
CUST000037,Active,8,7654.53875,101507.95125,613,1,8,0.125
CUST000038,Active,11,1559.4645454545455,129730.98545454546,351,0,11,0.0
CUST000039,Premium,11,14415.197272727271,106289.96181818182,471,0,10,0.09090909090909091
CUST000040,Active,10,2410.73,94695.75700000001,433,0,10,0.0
CUST000041,Premium,10,7704.347,94569.193,334,0,9,0.0
CUST000042,Active,9,2017.7766666666669,56046.47555555556,717,1,9,0.0
CUST000043,Active,9,36045.13333333333,50537.205555555556,729,0,9,0.0
CUST000044,Premium,10,20126.598,167504.423,445,0,10,0.1
CUST000045,Regular,4,20090.07,49429.4625,742,0,3,0.0
CUST000046,Premium,11,38886.66818181818,148209.95727272728,799,0,10,0.0
CUST000047,Regular,5,15544.905999999999,43613.85400000001,723,0,4,0.0
CUST000048,Regular,8,6582.22,30842.112500000003,414,0,8,0.125
CUST000049,Active,7,1717.4614285714288,234050.8157142857,703,0,7,0.42857142857142855
CUST000050,Regular,6,44714.20166666667,22079.058333333334,836,0,6,0.0
CUST000051,Active,7,1853.1185714285714,92786.46571428572,419,1,7,0.0
CUST000052,Regular,8,8670.897500000001,50203.70125,489,0,8,0.0
CUST000053,Active,4,67401.4925,99355.0875,393,0,4,0.0
CUST000054,Active,5,23658.794,60678.06999999999,857,1,5,0.0
CUST000055,Regular,3,149046.21333333335,23429.166666666668,776,1,3,0.0
CUST000056,Active,10,3321.608,77260.466,778,0,9,0.1
CUST000057,Active,7,57393.16285714286,83744.73857142858,855,0,7,0.14285714285714285
CUST000058,Active,6,21756.178333333333,109410.23666666665,802,1,6,0.0
CUST000059,Premium,8,107036.50125,106361.9725,302,1,8,0.0
CUST000060,Premium,13,84165.89692307691,85444.5530769231,563,0,12,0.07692307692307693
CUST000061,Regular,5,69639.63399999999,50162.136,825,1,4,0.0
CUST000062,Regular,6,28469.65166666667,45533.06,499,1,6,0.0
CUST000063,Active,9,39291.82777777777,33452.04888888889,362,0,8,0.1111111111111111
CUST000064,Active,9,9317.83888888889,83244.59000000001,796,0,8,0.2222222222222222
CUST000065,Regular,4,10570.972500000002,25818.95,516,1,4,0.0
CUST000066,Active,5,80063.086,221775.16,427,0,4,0.4
CUST000067,Regular,12,4707.9325,30185.471666666665,768,0,12,0.0
CUST000068,Regular,9,2398.0155555555557,47905.99333333333,735,0,9,0.0
CUST000069,Active,7,50475.404285714285,79778.89,434,0,6,0.0
CUST000070,Active,10,5567.192,109590.85800000001,516,0,10,0.1
CUST000071,Premium,9,47958.16888888889,63829.91222222222,828,1,9,0.0
CUST000072,Active,8,11884.55,178544.79875000002,715,1,8,0.0
CUST000073,Regular,4,2287.27,54555.06,509,1,4,0.0
CUST000074,Active,7,7045.995714285715,122828.65285714286,332,1,7,0.0
CUST000075,Active,5,13699.438,130670.112,534,1,5,0.2
CUST000076,Regular,7,6301.575714285714,29308.33142857143,875,0,7,0.14285714285714285
CUST000077,Regular,6,8541.973333333333,39556.93,702,1,6,0.0
CUST000078,Premium,7,25147.749999999996,95199.91142857143,737,1,7,0.0
CUST000079,Active,6,61414.371666666666,148126.82833333334,655,1,6,0.0
CUST000080,Active,8,6839.0275,63507.2625,530,0,8,0.125
CUST000081,Regular,8,10824.3825,44629.011249999996,609,0,7,0.125
CUST000082,Active,6,43268.058333333334,69710.19166666667,685,1,6,0.16666666666666666
CUST000083,Premium,9,16698.38,89806.14888888889,510,0,9,0.1111111111111111
CUST000084,Regular,3,72914.48,31696.78,786,0,3,0.0
CUST000085,Active,8,12904.90625,114072.9425,596,0,8,0.125
CUST000086,Regular,7,2091.2542857142857,58220.41714285715,736,0,7,0.0
CUST000087,Regular,6,7146.78,55601.71,831,1,5,0.0
CUST000088,Regular,2,3347.16,55778.785,553,0,2,0.0
CUST000089,Regular,2,11692.404999999999,75798.535,677,0,2,0.0
CUST000090,Active,7,27045.821428571428,63486.57,631,0,6,0.0
CUST000091,Premium,12,22823.913333333334,141991.67500000002,790,0,10,0.0
